location,lat,lon,artist_count
Q329485,39.266111111,-81.542222222,2
Q16555,29.762777777,-95.383055555,135
Q2256,52.48,-1.9025,182
Q223761,11.183333333,-4.283333333,8
Q1055,53.55,10.0,210
Q649,55.755833333,37.617777777,394
Q188304,54.9,-1.380277777,11
Q17,35.0,136.0,192
Q9679,50.666666666,-1.266666666,2
Q16557,32.779166666,-96.808888888,89
Q5925,33.67,-117.78,121
Q38283,35.433333333,139.633333333,37
Q145,54.6,-2.0,169
Q1297,41.881944444,-87.627777777,473
Q34,61.0,15.0,120
Q127623,60.3,25.033333333,10
Q2011497,53.325,-2.239,1
Q7786,0.533333333,101.45,3
Q271730,49.054611111,-122.328,2
Q84,51.507222222,-0.1275,1190
Q122723,34.686388888,135.52,177
Q202160,52.233333333,19.366666666,2
Q16552,32.715,-117.1625,231
Q18125,53.466666666,-2.233333333,223
Q11739,31.549722222,74.343611111,20
Q60,40.67,-73.94,1493
Q109005,59.12881,10.21971,9
Q656,59.95,30.316666666,257
Q614008,35.403611111,-80.435555555,1
Q960,51.783333333,94.75,2
Q3130,-33.866666666,151.2,215
Q11194,43.866666666,18.416666666,39
Q585,59.911111111,10.752777777,297
Q46747,38.268333333,140.869444444,13
Q12193,48.39,-4.486944444,12
Q661096,40.583611111,-74.228611111,1
Q1726,48.137194444,11.5755,185
Q1003662,34.531666666,-83.983888888,1
Q51689,33.05,-96.75,5
Q64,52.516666666,13.383333333,380
Q1021563,41.009722222,-74.173055555,4
Q3183,-31.952222222,115.858888888,98
Q65,34.05223,-118.24368,1530
Q52998,43.8849,-79.4304,2
Q506398,34.11,-117.719722222,4
Q9832,51.434444444,5.484166666,11
Q5083,47.60621,-122.33207,342
Q3033,51.533888888,9.935555555,15
Q55905,48.068611111,-2.962777777,3
Q71724,47.745833333,-3.366388888,2
Q128223,47.706666666,-3.353333333,1
Q327,48.0,-3.0,6
Q26521,56.658387901,12.900364987,6
Q69601,47.731388888,-2.590555555,1
Q2213391,51.3727,-0.1099,13
Q475592,47.840277777,-4.284722222,1
Q24639,49.260833333,-123.113888888,196
Q3462864,48.3985,-4.454,1
Q71115,47.711666666,-3.105,1
Q30,39.828175,-98.5795,287
Q245267,48.101666666,-4.001666666,1
Q70886,47.833333333,-3.157777777,1
Q914967,47.667222222,6.841944444,1
Q213481,47.285833333,-2.392222222,1
Q342,47.995833333,-4.097777777,7
Q105967,28.1,-17.133333333,1
Q235382,47.872777777,-3.549722222,2
Q23482,43.296666666,5.376388888,47
Q81997,50.725555555,1.613888888,2
Q320514,40.039722222,-76.304444444,7
Q16739,33.768321,-118.1956168,62
Q634601,48.619166666,-3.088333333,1
Q841084,48.473055555,-3.188333333,2
Q4043,48.351666666,-1.2,2
Q99,37.0,-120.0,510
Q163108,48.647222222,-2.008888888,4
Q23051,51.616666666,-3.95,20
Q12130,48.0,-3.0,7
Q9681,51.795,-0.078,4
Q8678,-22.908333333,-43.196388888,322
Q21,53.0,-1.0,200
Q414,-34.0,-64.0,39
Q1754,59.329444444,18.068611111,274
Q1486,-34.599722222,-58.381944444,344
Q205817,51.541666666,-0.102222222,2
Q37320,41.482222222,-81.669722222,116
Q3141,-37.820555555,144.961388888,245
Q23197,36.162222222,-86.774444444,226
Q6106,45.516666666,-122.666666666,151
Q12191,47.217222222,-1.553888888,19
Q62,37.7775,-122.416388888,330
Q284777,48.734,-122.486,1
Q751380,48.298888888,-3.516944444,1
Q39121,53.799722222,-1.549166666,89
Q42735,47.0425,-122.893055555,34
Q2807,40.418888888,-3.691944444,273
Q1780,48.144722222,17.112777777,31
Q18013,38.575277777,-121.486111111,106
Q100,42.358333333,-71.0625,322
Q48292,43.676944444,4.628611111,6
Q749,53.218527777,6.567,12
Q5465,-33.925,18.425,43
Q10389,-6.95,107.566666666,184
Q213205,37.75,-122.283333333,100
Q1781,47.498333333,19.040833333,249
Q193638,35.658333333,139.701388888,13
Q18419,40.692777777,-73.990277777,346
Q3365170,51.6833,-3.4333,2
Q2280,53.902246,27.561837,76
Q183,51.0,10.0,109
Q994,41.7225,44.7925,41
Q1953,40.181388888,44.514444444,82
Q16563,35.1175,-89.971111111,98
Q340,45.508888888,-73.561666666,262
Q321381,51.666944444,-1.282777777,2
Q3612,-23.6464,-70.398,8
Q212,49.0,32.0,11
Q8684,37.56,126.99,320
Q491603,62.098611111,30.1375,3
Q418096,35.698333333,139.773055555,8
Q510310,65.833333333,24.133333333,1
Q1770,59.437222222,24.745,41
Q127513,35.447508333,139.642344444,73
Q4361,-25.429722222,-49.271944444,13
Q90,48.856944444,2.351388888,328
Q437,46.05,14.516666666,139
Q34804,35.116666666,-106.616666666,12
Q64116,51.621666666,-0.751666666,5
Q490,45.466944444,9.19,134
Q1022,48.776111111,9.1775,97
Q3711,44.816666666,20.466666666,107
Q1024900,51.59672,-3.33682,5
Q1320403,40.6898,-73.8077,7
Q485716,34.170833333,-118.25,19
Q4093,55.86,-4.25,151
Q996502,55.8997,-4.4006,1
Q884,36.0,128.0,80
Q125080,63.1,21.616666666,10
Q205679,51.544722222,-0.0575,11
Q1384,43.0,-75.0,142
Q184116,41.580833333,-87.345555555,14
Q40840,61.498055555,23.760833333,28
Q1718,51.231144444,6.772380555,67
Q9248,40.366655555,49.835183333,161
Q2895,54.0,29.0,1
Q25287,57.671706102,11.980966694,133
Q26040,57.71710358,12.945725992,8
Q49247,33.836111111,-117.889722222,15
Q1757,60.17556,24.93417,181
Q1764,64.1475,-21.935,63
Q1899,50.45,30.523611111,261
Q365,50.942222222,6.957777777,95
Q748533,63.561111111,27.188888888,1
Q49233,28.533611111,-81.386666666,63
Q3426,51.671666666,39.210555555,11
Q986578,61.313888888,22.141666666,1
Q570986,42.1292,-87.8408,2
Q36947,-12.970833333,-38.510833333,39
Q218,46.0,25.0,10
Q28911,60.9803806,25.654988,12
Q39383,67.2827,14.3751,12
Q3758,49.444722222,7.768888888,10
Q186237,62.6,29.763888888,10
Q16559,30.3,-97.733333333,180
Q1019527,51.285,6.079166666,2
Q2901359,35.83896,-90.36816,1
Q175632,52.523,-1.4683,2
Q399976,33.725555555,-116.369444444,13
Q2060790,59.827067255,15.694220342,1
Q1408,40.0,-74.5,139
Q39383,67.28267,14.37513,12
Q2066,51.450833333,7.013055555,31
Q42448,53.3825,-1.471944444,78
Q1421389,-37.8011,144.979,1
Q826782,52.8066,-2.1171,9
Q49256,35.405833333,-119.018611111,13
Q3933,52.625555555,10.0825,5
Q6225,52.416666666,-1.516666666,25
Q107135,59.216667,10.95,12
Q2742,51.9625,7.625555555,26
Q1524,37.984166666,23.728055555,126
Q694545,36.981666666,-86.444444444,4
Q64087,47.195555555,8.526388888,1
Q1490,35.689722222,139.692222222,617
Q172,43.670277777,-79.386666666,349
Q2901359,35.8364,-90.3675,1
Q61,38.895,-77.036666666,179
Q801,31.0,35.0,30
Q1093,51.21,5.936111111,2
Q8717,37.383333333,-5.983333333,47
Q45779,46.070833333,18.233055555,13
Q1345,39.952777777,-75.163611111,359
Q28911,60.983333333,25.655555555,12
Q24826,53.416666666,-3.0,224
Q36091,44.981944444,-93.269166666,99
Q2119,49.487777777,8.466111111,34
Q26793,60.3925,5.323333333,137
Q47048,65.014166666,25.471944444,26
Q55,52.316666666,5.55,48
Q2786160,40.2011,-84.815,1
Q1043575,-33.999891666,-58.284686111,1
Q8652,25.783333333,-80.216666666,87
Q990271,42.580277777,-83.143055555,1
Q975,29.425,-98.493888888,51
Q36433,41.149472222,-8.610777777,27
Q40,48.0,14.0,24
Q1043575,-34.00023,-58.28402,1
Q1489,19.419444444,-99.145555555,177
Q34600,35.011666666,135.768055555,39
Q1001243,50.05,18.4,1
Q49236,27.773055555,-82.64,14
